代码,名称,最新价,市盈率,市净率,总市值,涨跌幅,格雷厄姆评分,巴菲特评分,林奇评分,综合评分,投资建议
603107,上海汽配,16.39,30.29,2.74,5528920650.0,1.74,25,38,57,39.8,不推荐
002973,侨银股份,14.66,22.16,2.46,5991037154.0,1.73,34,42,57,44.1,不推荐
301046,能辉科技,21.26,141.02,4.13,3237809325.0,1.72,15,43,39,33.4,不推荐
603386,骏亚科技,13.72,74.13,3.3,4477145523.0,1.7,15,43,42,34.3,不推荐
300486,东杰智能,9.66,238.06,3.69,3937939775.0,1.68,15,38,42,32.3,不推荐
301529,福赛科技,61.53,46.66,4.22,5220033531.0,1.67,15,43,48,36.1,不推荐
300864,南大环境,21.48,18.77,2.74,3361376610.0,1.66,35,42,51,42.6,不推荐
003041,真爱美家,29.48,5.11,2.83,4245120000.0,1.66,50,52,53,51.7,不推荐
002080,中材科技,28.3,32.79,2.57,47490897427.0,1.65,25,48,55,43.2,不推荐
603368,柳药集团,17.98,6.44,0.96,7141096067.0,1.64,70,57,61,62.1,谨慎关注
688517,金冠电气,15.47,27.67,2.78,2113405956.0,1.64,25,42,51,39.6,不推荐
301167,建研设计,17.35,44.94,2.07,1943200000.0,1.64,22,38,48,36.2,不推荐
601333,广深铁路,3.1,11.73,0.79,21958964700.0,1.64,68,52,54,57.4,不推荐
002258,利尔化学,12.52,16.37,1.3,10021474095.0,1.62,61,47,59,54.8,不推荐
300825,阿尔特,11.89,119.45,2.65,5921701319.0,1.62,15,38,51,35.0,不推荐
000525,红太阳,7.56,83.84,3.39,9813086698.0,1.61,15,38,48,34.1,不推荐
688253,英诺特,33.38,11.95,2.29,4554974582.0,1.61,45,47,48,46.7,不推荐
688626,翔宇医疗,46.89,81.72,3.76,7502400000.0,1.6,15,43,48,36.1,不推荐
600234,科新发展,8.93,348.5,4.98,2344312289.0,1.59,15,38,39,31.4,不推荐
603903,中持股份,8.36,173.07,1.41,2134470853.0,1.58,23,38,47,36.2,不推荐
688090,瑞松科技,34.66,504.13,4.76,4241346418.0,1.58,15,43,39,33.4,不推荐
688662,富信科技,43.03,135.01,5.62,3796967200.0,1.58,15,40,37,31.6,不推荐
301611,珂玛科技,56.9,71.21,15.86,24808400000.0,1.57,15,33,35,28.2,不推荐
300718,长盛轴承,93.0,130.98,17.48,27786449790.0,1.56,15,28,35,26.2,不推荐
300010,豆神教育,9.2,127.2,11.31,19012836463.0,1.55,15,28,37,26.8,不推荐
000026,飞亚达,17.71,39.65,2.19,7186080564.0,1.55,27,38,57,40.4,不推荐
688270,臻镭科技,48.0,114.33,4.76,10274476800.0,1.54,15,48,45,37.2,不推荐
603839,安正时尚,7.28,30.72,1.53,2832171160.0,1.53,30,38,53,40.1,不推荐
600602,云赛智联,23.83,193.43,6.89,32591658433.0,1.53,15,36,38,30.3,不推荐
603360,百傲化学,20.09,70.71,9.22,14188033209.0,1.52,15,32,37,28.4,不推荐
688056,莱伯泰科,35.98,47.52,3.07,2426939511.0,1.52,15,38,45,33.2,不推荐
600774,汉商集团,10.77,287.67,1.91,3177498970.0,1.51,20,38,47,35.3,不推荐
002664,信质集团,22.12,395.48,2.65,9029384000.0,1.51,15,38,51,35.0,不推荐
601136,首创证券,20.79,94.05,4.27,56826009702.0,1.51,15,48,41,36.0,不推荐
300712,永福股份,26.2,64.27,3.86,4913706117.0,1.51,15,38,42,32.3,不推荐
002779,中坚科技,87.8,96.1,21.06,16225440000.0,1.5,15,33,37,28.8,不推荐
002955,鸿合科技,25.65,259.37,1.88,6069813743.0,1.5,20,43,53,39.1,不推荐
688016,心脉医疗,113.42,26.96,3.68,13980389310.0,1.5,20,48,54,41.4,不推荐
301212,联盛化学,28.39,68.59,2.29,3066120000.0,1.5,17,38,45,33.8,不推荐
605088,冠盛股份,43.0,24.47,3.06,8221664500.0,1.49,27,38,54,39.5,不推荐
002384,东山精密,53.82,54.06,4.78,98577117372.0,1.49,15,48,44,36.9,不推荐
603881,数据港,27.4,111.7,6.07,19683529773.0,1.48,15,40,43,33.4,不推荐
300562,乐心医疗,16.49,39.08,3.63,3586017440.0,1.48,20,43,48,37.6,不推荐
688589,力合微,22.81,65.81,3.49,3314938751.0,1.47,15,38,42,32.3,不推荐
300265,通光线缆,11.03,226.28,2.29,5055053952.0,1.47,17,38,51,35.6,不推荐
603355,莱克电气,24.4,15.35,2.76,13992957335.0,1.46,35,47,57,46.4,不推荐
301588,美新科技,19.44,35.77,2.5,2310789138.0,1.46,27,43,51,40.6,不推荐
002428,云南锗业,22.31,357.16,10.06,14571107200.0,1.46,15,28,37,26.8,不推荐
688767,博拓生物,36.01,153.95,2.32,5377493357.0,1.44,17,38,55,36.8,不推荐
002803,吉宏股份,16.39,31.35,3.38,7419413530.0,1.42,20,38,54,37.4,不推荐
688502,茂莱光学,358.0,283.97,16.03,18902400000.0,1.42,15,28,37,26.8,不推荐
002697,红旗连锁,5.78,12.55,1.76,7860800000.0,1.4,56,47,56,52.4,不推荐
603298,杭叉集团,22.5,16.89,2.97,29470771103.0,1.4,35,47,55,45.8,不推荐
001358,兴欣新材,24.0,42.26,2.11,2956800000.0,1.39,22,38,48,36.2,不推荐
600845,宝信软件,26.26,42.58,7.35,75728689311.0,1.39,15,46,43,35.8,不推荐
300689,澄天伟业,47.8,260.71,8.1,5525680000.0,1.38,15,31,40,28.9,不推荐
300863,卡倍亿,35.89,31.83,4.41,6764182414.0,1.38,20,38,51,36.5,不推荐
001267,汇绿生态,13.18,130.28,6.61,10335290456.0,1.38,15,40,43,33.4,不推荐
600662,外服控股,5.86,15.87,2.54,13381289402.0,1.38,35,47,57,46.4,不推荐
603135,中重科技,10.25,117.57,2.18,6452765320.0,1.38,17,43,51,37.6,不推荐
688157,松井股份,31.27,321.39,3.75,4891599872.0,1.36,15,38,42,32.3,不推荐
301550,斯菱股份,96.98,83.24,8.9,15468310000.0,1.36,15,32,37,28.4,不推荐
000988,华工科技,48.5,29.74,4.7,48766881290.0,1.36,20,48,49,39.9,不推荐
002628,成都路桥,5.25,239.92,1.37,3974777179.0,1.35,23,38,47,36.2,不推荐
300812,易天股份,22.7,39.58,4.03,3179748558.0,1.34,20,38,45,34.7,不推荐
002929,润建股份,46.78,47.92,2.14,13289406670.0,1.34,22,43,54,40.0,不推荐
603599,广信股份,12.12,17.13,1.15,11032464461.0,1.34,61,47,59,54.8,不推荐
603189,网达软件,19.05,426.71,3.42,5134896048.0,1.33,15,43,52,37.3,不推荐
301057,汇隆新材,18.3,43.4,2.88,2140540715.0,1.33,20,38,48,35.6,不推荐
002354,天娱数科,6.86,541.36,9.26,11350458725.0,1.33,15,32,37,28.4,不推荐
003033,征和工业,44.12,16.75,2.84,3606810000.0,1.33,35,42,51,42.6,不推荐
301336,趣睡科技,56.96,59.46,2.8,2278400000.0,1.33,15,43,48,36.1,不推荐
300092,科新机电,13.75,19.5,2.33,3766444976.0,1.33,37,42,51,43.2,不推荐
300503,昊志机电,23.78,116.77,6.07,7278412040.0,1.32,15,35,43,31.4,不推荐
301392,汇成真空,165.99,498.66,22.87,16599000000.0,1.32,15,28,37,26.8,不推荐
601900,XD南方传,14.65,10.09,1.59,12920861877.0,1.31,56,52,56,54.4,不推荐
301085,亚康股份,62.46,79.16,4.99,5420008661.0,1.31,15,38,45,33.2,不推荐
688143,长盈通,41.2,152.3,4.29,5041826351.0,1.3,15,38,45,33.2,不推荐
002052,同洲电子,11.69,21.47,30.05,8720268823.0,1.3,27,23,43,30.2,不推荐
688403,汇成股份,10.1,52.27,2.71,8486203871.0,1.3,15,38,54,35.9,不推荐
600208,衢州发展,3.94,19.77,0.81,33525226752.0,1.29,63,47,57,54.8,不推荐
600839,四川长虹,10.22,34.14,3.19,47178015949.0,1.29,20,43,52,38.8,不推荐
301295,美硕科技,25.32,77.98,2.71,2552256000.0,1.28,15,43,45,35.2,不推荐
603500,祥和实业,9.57,22.46,3.36,3184896440.0,1.27,27,38,48,37.7,不推荐
603090,宏盛股份,30.99,33.01,5.42,3099000000.0,1.27,20,35,43,32.9,不推荐
300047,天源迪科,16.9,203.94,3.29,10777884957.0,1.26,15,43,48,36.1,不推荐
600460,士兰微,26.6,74.49,3.6,44264311077.0,1.26,15,43,46,35.5,不推荐
603205,健尔康,30.5,41.29,3.38,4758000000.0,1.26,15,38,45,33.2,不推荐
002809,红墙股份,12.95,270.04,1.75,2740223820.0,1.25,20,38,47,35.3,不推荐
301371,敷尔佳,26.72,38.02,2.6,13897178880.0,1.25,25,43,57,41.8,不推荐
300471,厚普股份,11.38,181.58,3.99,4599407441.0,1.25,15,38,42,32.3,不推荐
688046,药康生物,16.29,55.69,3.15,6678900000.0,1.24,15,43,55,38.2,不推荐
688209,英集芯,18.78,102.64,4.08,8062843786.0,1.24,15,38,45,33.2,不推荐
002644,佛慈制药,8.95,58.95,2.53,4570380150.0,1.24,15,43,48,36.1,不推荐
300382,斯莱克,17.2,240.57,4.85,11152479897.0,1.24,15,43,45,35.2,不推荐
300511,雪榕生物,6.58,135.74,2.96,3932415066.0,1.23,15,38,49,34.4,不推荐
301429,森泰股份,19.8,32.02,1.78,2340756000.0,1.23,30,38,53,40.1,不推荐
002229,鸿博股份,20.03,29.38,7.43,9938715505.0,1.21,20,31,46,32.2,不推荐
600883,博闻科技,8.38,81.08,2.05,1978417440.0,1.21,17,43,45,35.8,不推荐
603859,能科科技,37.6,46.95,3.13,9200633558.0,1.21,15,43,51,37.0,不推荐
301525,儒竞科技,80.41,35.87,2.38,7583609265.0,1.21,27,43,57,42.4,不推荐
301338,凯格精机,46.46,37.21,3.35,4943344000.0,1.2,20,38,48,35.6,不推荐
603567,珍宝岛,12.61,39.4,1.51,11867783079.0,1.2,30,43,59,43.9,不推荐
688338,赛科希德,27.9,32.0,1.82,2961372960.0,1.2,30,38,53,40.1,不推荐
301188,力诺药包,21.9,32.3,3.4,5235114956.0,1.2,20,43,54,39.4,不推荐
605377,华旺科技,9.33,16.09,1.35,5193733600.0,1.19,61,47,59,54.8,不推荐
603110,东方材料,16.09,274.36,4.65,3237738118.0,1.19,15,38,39,31.4,不推荐
300409,道氏技术,17.0,76.02,1.71,13298232201.0,1.19,20,43,53,39.1,不推荐
688376,美埃科技,45.5,36.47,3.37,6115200000.0,1.18,20,43,54,39.4,不推荐
601628,中国人寿,41.99,10.3,2.23,1186834962950.0,1.18,45,62,48,52.7,不推荐
301270,汉仪股份,45.4,243.96,4.6,4540000000.0,1.18,15,38,39,31.4,不推荐
300335,迪森股份,6.05,37.69,1.53,2885924947.0,1.17,30,38,53,40.1,不推荐
688273,麦澜德,33.8,21.2,2.58,3380000000.0,1.17,32,42,51,41.7,不推荐
002251,步步高,5.18,29.25,1.74,13927464389.0,1.17,35,47,59,47.0,不推荐
688488,艾迪药业,14.81,99.98,6.25,6231793386.0,1.16,15,40,43,33.4,不推荐
603717,天域生物,7.85,41.36,4.28,2277647984.0,1.16,15,38,46,33.5,不推荐
688334,西高院,19.15,24.07,2.17,6062496774.0,1.16,34,42,57,44.1,不推荐
000055,方大集团,4.37,35.52,0.77,4692830372.0,1.16,40,38,53,43.1,不推荐
688613,奥精医疗,20.0,657.74,1.93,2740171680.0,1.16,20,43,47,37.3,不推荐
688389,普门科技,14.11,28.15,3.05,6045933650.0,1.15,20,43,54,39.4,不推荐
300132,青松股份,6.15,415.93,2.44,3176972449.0,1.15,17,38,45,33.8,不推荐
300979,华利集团,57.87,22.16,4.38,67534290000.0,1.14,27,48,47,41.4,不推荐
688737,中自科技,22.23,86.28,1.45,2657919035.0,1.14,23,43,47,38.2,不推荐
688582,芯动联科,65.7,148.35,12.02,26327018862.0,1.14,15,28,35,26.2,不推荐
688112,鼎阳科技,37.24,36.43,3.97,5928608708.0,1.14,20,43,54,39.4,不推荐
688621,阳光诺和,56.0,53.01,6.2,6272000000.0,1.14,15,35,46,32.3,不推荐
300738,奥飞数据,22.1,105.18,6.37,21771870935.0,1.14,15,40,41,32.8,不推荐
688029,南微医学,88.0,25.68,4.34,16530573136.0,1.13,20,48,51,40.5,不推荐
601838,XD成都银,18.8,6.61,1.01,79682584693.0,1.13,68,62,49,59.9,不推荐
601665,齐鲁银行,6.25,5.81,0.59,31796345781.0,1.13,70,59,59,62.3,谨慎关注
688721,龙图光罩,46.52,89.57,5.31,6210420000.0,1.13,15,35,43,31.4,不推荐
603617,君禾股份,8.02,38.31,2.11,3131580123.0,1.13,27,38,51,38.6,不推荐
002850,科达利,117.0,20.66,2.77,32000287761.0,1.13,32,47,55,44.9,不推荐
603444,吉比特,328.98,20.91,4.81,23700081407.0,1.13,27,43,49,40.0,不推荐
688230,芯导科技,63.0,76.95,3.38,7408800000.0,1.12,15,43,48,36.1,不推荐
002760,凤形股份,19.8,175.41,2.63,2138176379.0,1.12,15,38,45,33.2,不推荐
300303,聚飞光电,6.4,32.05,2.5,9059875373.0,1.11,27,38,57,40.4,不推荐
300538,同益股份,16.38,230.61,3.1,2979826226.0,1.11,15,38,42,32.3,不推荐
688676,金盘科技,38.38,41.09,4.05,17627399443.0,1.11,15,48,48,38.1,不推荐
002920,德赛西威,105.6,25.16,6.13,58602646186.0,1.1,20,45,45,37.5,不推荐
603629,利通电子,24.2,53.4,3.74,6290306000.0,1.09,15,38,51,35.0,不推荐
002616,长青集团,6.47,14.81,1.73,4800895998.0,1.09,53,44,50,48.5,不推荐
301007,德迈仕,35.2,124.1,8.2,5397568000.0,1.09,15,31,40,28.9,不推荐
300768,迪普科技,17.57,92.43,3.43,11312076215.0,1.09,15,48,48,38.1,不推荐
002646,天佑德酒,10.32,18.42,1.73,4974270692.0,1.08,47,42,53,46.8,不推荐
600173,卧龙新能,6.58,31.93,1.22,4609331086.0,1.08,35,38,53,41.6,不推荐
603259,药明康德,89.84,17.57,4.37,258039993697.0,1.08,30,58,45,45.7,不推荐
002335,科华数据,42.96,80.29,3.67,22142187201.0,1.08,15,43,46,35.5,不推荐
001300,三柏硕,13.27,123.92,3.09,3234906379.0,1.07,15,38,42,32.3,不推荐
000058,深 赛 格,8.52,114.6,5.21,10489829725.0,1.07,15,40,43,33.4,不推荐
301067,显盈科技,36.0,176.22,4.2,3500496000.0,1.07,15,43,39,33.4,不推荐
301233,盛帮股份,54.75,28.34,3.05,2817982500.0,1.07,20,38,48,35.6,不推荐
002167,东方锆业,13.38,137.48,5.99,10365128754.0,1.06,15,40,43,33.4,不推荐
002345,潮宏基,14.32,16.84,3.64,12723501964.0,1.06,30,43,54,42.4,不推荐
002395,双象股份,19.05,18.76,3.68,5109381450.0,1.06,30,38,54,40.4,不推荐
300596,利安隆,30.37,16.16,1.55,6973549287.0,1.06,50,42,59,49.5,不推荐
603089,正裕工业,14.25,28.31,2.5,3420474069.0,1.06,27,42,51,40.2,不推荐
002587,奥拓电子,6.68,79.99,3.3,4352314962.0,1.06,15,38,42,32.3,不推荐
603233,大参林,17.37,10.75,2.9,19781787936.0,1.05,40,52,54,49.0,不推荐
300703,创源股份,24.95,54.88,5.11,4500776408.0,1.05,15,35,40,30.5,不推荐
300602,飞荣达,23.18,58.37,3.63,13487594331.0,1.05,15,43,51,37.0,不推荐
300678,中科信息,34.5,801.35,12.1,10225327109.0,1.05,15,28,37,26.8,不推荐
000061,农 产 品,6.73,38.35,1.82,11420568602.0,1.05,30,43,59,43.9,不推荐
300539,横河精密,23.96,119.4,9.69,5338292792.0,1.05,15,27,37,26.4,不推荐
301312,智立方,42.5,51.72,4.35,5151964878.0,1.05,15,38,48,34.1,不推荐
